time,node_cpu_utilization|Average|node1,node_cpu_utilization|Average|node2,pod_memory_utilization|Average|carts-db,pod_network_rx_bytes|Average|user,carts_req_rate,user_req_rate,orders_perc95_rt,front-end_perc95_rt,anomaly
2024-05-13 15:53:00+00:00,5.439496031977374,4.510725030045678,5.98615193915455,6179.2543917392295,1.0,0.9990009990009991,45.0,114.99999999999972,0
2024-05-13 15:54:00+00:00,8.577096491658562,5.246744797196634,5.987876353411601,19966.35846092093,4.006012024048096,18.0,46.12499999999999,118.34239130434784,0
2024-05-13 15:55:00+00:00,9.070289252665557,5.870835536277968,5.990006512199724,25264.91925997373,6.0,30.96414342629481,72.2912358903088,111.71561830562976,0
2024-05-13 15:56:00+00:00,8.499095519978626,5.736410082144908,5.988789278606511,21704.95921901613,6.0,9.018054162487465,52.999127089054014,99.29794520547944,0
2024-05-13 15:57:00+00:00,9.059438567294938,5.641050241255966,5.988484970208208,23946.19283996244,5.0,0.9940357852882704,47.73648648648648,99.2682926829268,0
2024-05-13 15:58:00+00:00,7.316234456120077,5.4017493045653735,5.9896007676686525,19052.150487683288,1.0,0.998003992015968,48.24068268636197,97.2900763358779,0
2024-05-13 15:59:00+00:00,8.453562401327837,5.334892933094315,5.990919437394633,18255.027933336456,1.0,1.0,45.625,138.161764705882,0
2024-05-13 16:00:00+00:00,9.361470136130029,5.889336065472067,5.9868619920839246,24885.05709865755,6.0,2.0,76.66666666666664,121.57534246575318,0
2024-05-13 16:01:00+00:00,8.848019440543386,5.682832781079044,5.989397895403117,23252.75222717326,3.0,14.0,49.71428571428571,121.77142857142825,0
2024-05-13 16:02:00+00:00,8.836532311499463,5.748128183892054,5.992035234855078,22330.92644857205,11.0,18.0,69.99999999999994,198.36366410590665,0
2024-05-13 16:03:00+00:00,8.403208620493707,5.490884602904652,5.99020938446526,20273.64219556308,1.0,1.0,60.0,231.9151434630443,0
2024-05-13 16:04:00+00:00,8.293206603981998,5.31690107835349,5.98838353407544,17165.948850871766,3.0,7.0,51.50442942917468,411.7211456355148,0
2024-05-13 16:05:00+00:00,9.946929325164152,6.0097564183205066,5.991325181925704,27863.601489208948,16.0,26.0,74.79166666666666,483.8567839195976,0
2024-05-13 16:06:00+00:00,9.596179377268903,5.741534167645607,5.9896007676686525,24336.174329414927,5.0,7.0,92.64688727446396,787.8511235955059,0
2024-05-13 16:07:00+00:00,8.5815094063238,5.617848830673385,5.965256095804398,20448.378075467343,3.0,9.0,88.65384615384615,917.3306772908364,0
2024-05-13 16:08:00+00:00,8.665963363599825,5.379990388363334,5.968907796584037,17034.054752767268,1.0,1.0,82.34374999999997,965.9495548961428,0
2024-05-13 16:09:00+00:00,7.677864733267148,4.893215858811672,5.969820721778946,13100.726946118515,4.990049751243781,1.0,79.79111054616328,2102.062887964525,0
2024-05-13 16:10:00+00:00,6.973639889231362,4.747700053482188,5.967589126858056,8940.85591993918,1.0,1.0,89.74999999999994,2028.102189781022,0
